image,true_text,predicted,cer,wer,status,error
1002_1.png,PRIVATE,A,0.8571428571428571,1.0,success,
1002_2.png,PARKING,A,0.8571428571428571,1.0,success,
1009_1.png,SALUTES,A,0.8571428571428571,1.0,success,
100_1.png,DOLCE,A,1.0,1.0,success,
100_2.png,GABBANA,A,0.8571428571428571,1.0,success,
100_3.png,REGENCY,A,1.0,1.0,success,
1016_1.png,STATE,A,0.8,1.0,success,
1016_2.png,BANK,A,0.75,1.0,success,
1016_3.png,OF,A,1.0,1.0,success,
1016_4.png,INDIA,A,0.8,1.0,success,
1017_3.png,KINGFISHER,A,1.0,1.0,success,
101_1.png,CLEAR,A,0.8,1.0,success,
101_2.png,CHANNEL,A,0.8571428571428571,1.0,success,
101_3.png,UNIVERSAL,A,0.8888888888888888,1.0,success,
101_4.png,STUDIOS,A,1.0,1.0,success,
101_5.png,HOLLYWOOD,A,1.0,1.0,success,
101_6.png,COM,A,1.0,1.0,success,
1021_2.png,LOAN,A,0.75,1.0,success,
1021_3.png,THAT,A,0.75,1.0,success,
1021_4.png,HOME,A,1.0,1.0,success,
1021_5.png,LOANS,A,0.8,1.0,success,
1023_12.png,JAMMU,A,0.8,1.0,success,
1023_13.png,41KM,A,1.0,1.0,success,
1023_14.png,83KM,A,1.0,1.0,success,
1023_19.png,VISIT,A,1.0,1.0,success,
1023_20.png,AGAIN,A,0.8,1.0,success,
1023_5.png,YOU,A,1.0,1.0,success,
1023_6.png,HAPPY,A,0.8,1.0,success,
1023_7.png,JOURNEY,A,1.0,1.0,success,
1024_1.png,STATE,A,0.8,1.0,success,
1024_2.png,BANK,A,0.75,1.0,success,
1024_3.png,OF,A,1.0,1.0,success,
1024_4.png,INDIA,A,0.8,1.0,success,
1026_1.png,SBI,A,1.0,1.0,success,
1026_11.png,VISA,A,0.75,1.0,success,
1026_3.png,PLATINUM,A,0.875,1.0,success,
1026_5.png,4865,A,1.0,1.0,success,
1026_7.png,4567,A,1.0,1.0,success,
1026_8.png,1212,A,1.0,1.0,success,
1026_9.png,VIJAY,A,0.8,1.0,success,
102_1.png,GYPSY,A,1.0,1.0,success,
102_2.png,05,A,1.0,1.0,success,
1036_1.png,STATE,A,0.8,1.0,success,
1036_2.png,BANK,A,0.75,1.0,success,
1036_3.png,OF,A,1.0,1.0,success,
1036_5.png,LABBIPET,A,0.875,1.0,success,
1036_6.png,VIJAYAWADA,A,0.9,1.0,success,
1036_7.png,GRUHA,A,0.8,1.0,success,
1036_8.png,GAMYA,A,0.8,1.0,success,
103_1.png,ALDO,A,0.75,1.0,success,
103_2.png,REGENCY,A,1.0,1.0,success,
1041_1.png,LAND,A,0.75,1.0,success,
1041_2.png,SHARK,A,0.8,1.0,success,
1041_3.png,LAGER,A,0.8,1.0,success,
1043_1.png,M,A,1.0,1.0,success,
1043_2.png,MAMMOTH,A,0.8571428571428571,1.0,success,
1044_4.png,THE,A,1.0,1.0,success,
1044_5.png,BLUBBER,A,1.0,1.0,success,
1044_6.png,GO,A,1.0,1.0,success,
1044_7.png,VEGETARIAN,A,0.9,1.0,success,
1045_1.png,STATE,A,0.8,1.0,success,
1045_2.png,BANK,A,0.75,1.0,success,
1046_1.png,SBI,A,1.0,1.0,success,
1046_2.png,MUTUAL,A,0.8333333333333334,1.0,success,
1046_3.png,FUND,A,1.0,1.0,success,
1047_1.png,STATE,A,0.8,1.0,success,
1047_2.png,BANK,A,0.75,1.0,success,
1047_3.png,OF,A,1.0,1.0,success,
1048_4.png,INDIA,A,0.8,1.0,success,
1049_1.png,STATE,A,0.8,1.0,success,
1049_2.png,BANK,A,0.75,1.0,success,
1049_7.png,WWWTOPSTOCKRESEARCHCOM,A,0.9545454545454546,1.0,success,
1049_8.png,WWWTOPSTOCKRESEARCHCOM,A,0.9545454545454546,1.0,success,
104_1.png,DELOCATED,A,0.8888888888888888,1.0,success,
104_2.png,REGENCY,A,1.0,1.0,success,
1050_1.png,STATE,A,0.8,1.0,success,
1050_6.png,BY,A,1.0,1.0,success,
1050_7.png,WWWTOPSTOCKRESEARCHCOM,A,0.9545454545454546,1.0,success,
1050_8.png,WWWTOPSTOCKRESEARCHCOM,A,0.9545454545454546,1.0,success,
1053_5.png,CHARTS,A,0.8333333333333334,1.0,success,
1053_6.png,BY,A,1.0,1.0,success,
1053_7.png,WWWTOPSTOCKRESEARCHCOM,A,0.9545454545454546,1.0,success,
1055_1.png,FORMULA,A,0.8571428571428571,1.0,success,
1056_1.png,OBLOOM,A,1.0,1.0,success,
1056_2.png,OBLOOM,A,1.0,1.0,success,
1059_1.png,FREE,A,1.0,1.0,success,
1059_2.png,PHONE,A,1.0,1.0,success,
1060_1.png,CHICAGO,A,0.8571428571428571,1.0,success,
1062_11.png,599,A,1.0,1.0,success,
1062_12.png,698,A,1.0,1.0,success,
1062_13.png,550,A,1.0,1.0,success,
